option_type,strike,expiration,open_interest,previous_open_interest,volume,implied_volatility,underlying_price,multiplier,option_price
call,90,2026-08-21,400,380,35,0.31,100,100,10.80
put,90,2026-08-21,1200,1150,90,0.33,100,100,0.65
call,95,2026-08-21,800,760,110,0.29,100,100,6.40
put,95,2026-08-21,1000,970,85,0.30,100,100,1.35
call,100,2026-08-21,1800,1700,260,0.27,100,100,3.20
put,100,2026-08-21,1700,1650,240,0.28,100,100,2.85
call,105,2026-08-21,1500,1420,210,0.28,100,100,1.20
put,105,2026-08-21,700,680,60,0.29,100,100,6.05
call,110,2026-08-21,1300,1250,150,0.30,100,100,0.38
put,110,2026-08-21,350,340,25,0.31,100,100,10.20
call,95,2026-09-18,600,580,55,0.30,100,100,7.50
put,95,2026-09-18,750,720,60,0.31,100,100,2.10
call,100,2026-09-18,1000,950,100,0.28,100,100,4.60
put,100,2026-09-18,1100,1060,95,0.29,100,100,4.15
call,105,2026-09-18,900,870,80,0.29,100,100,2.45
put,105,2026-09-18,550,530,45,0.30,100,100,6.90

